	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G44070.1	6.95255	0.706255	0.30737	0.3883902	0.99999982	0
AT5G44100.1	5.9804	1.375121	1.23137	0.13335497	0.950375271	0
AT5G44130.1	6.61191	-2.668662	-1.47962	0.11204295	0.932681877	0
AT5G44190.1	6.00066	0.244219	0	0.82134684	0.99999982	0
AT5G44340.1	7.51007	0.655578	0.20238	0.42571439	0.99999982	0
AT5G44420.1	5.95744	2.449231	1.87536	0.05554213	0.847103772	0
AT5G44680.1	6.35324	-1.635809	-0.97605	0.21405024	0.99999982	0
AT5G44790.1	6.09572	1.421724	1.33689	0.114194	0.934797393	0
AT5G44800.1	6.56164	0.242431	0	0.818915	0.99999982	0
AT5G45110.1	6.50266	-0.51243	0	0.59272326	0.99999982	0
AT5G45350.1	6.6642	0.687476	0.25049	0.41100135	0.99999982	0
AT5G45390.1	7.67168	-0.393989	0	0.68626894	0.99999982	0
AT5G45680.1	6.27115	0.545612	0	0.57192437	0.99999982	0
AT5G46020.1	6.44197	-1.19989	-0.63067	0.32407664	0.99999982	0
AT5G46420.1	6.72615	-0.201404	0	0.84247852	0.99999982	0
AT5G46520.1	4.63183	4.13987	3.29051	0.00626694	0.249060371	0
AT5G46580.1	5.95263	-0.014841	0	0.99250776	0.99999982	0
AT5G46730.1	7.40655	-0.515672	0	0.57852065	0.99999982	0
AT5G47010.1	6.17029	1.052939	0.83416	0.22293978	0.99999982	0
AT5G47020.1	6.19375	0.096011	0	0.93171811	0.99999982	0
AT5G47030.1	7.20755	-0.095701	0	0.93493733	0.99999982	0
AT5G47040.1	7.35472	-0.190678	0	0.86066827	0.99999982	0
AT5G47110.1	7.49522	0.807937	0.80222	0.22279321	0.99999982	0
AT5G47190.1	7.13722	-0.757213	-0.35613	0.37687286	0.99999982	0
AT5G47210.1	6.33675	-1.04517	-0.17407	0.70995276	0.99999982	0
AT5G47540.1	6.08157	-0.187239	0	0.87054914	0.99999982	0
AT5G47560.1	7.55207	0.532711	0	0.56473589	0.99999982	0
AT5G47640.1	5.783	1.709022	1.23488	0.1425928	0.953749755	0
AT5G47700.1	4.7039	-2.051194	-0.61959	0.42420702	0.99999982	0
AT5G47780.1	6.60573	0.437879	0	0.65280089	0.99999982	0
AT5G47840.1	6.21298	-0.941112	-0.20832	0.61852271	0.99999982	0
AT5G47880.1	5.59342	1.997709	1.46289	0.10363626	0.915267873	0
AT5G47910.1	8.09257	0.134685	0	0.94859638	0.99999982	0
AT5G48160.1	6.74706	-0.186223	0	0.85528669	0.99999982	0
AT5G48180.1	7.40229	-0.134695	0	0.92600534	0.99999982	0
AT5G48300.1	8.19594	0.112624	0	0.94201801	0.99999982	0
AT5G48380.1	7.32814	0.370652	0	0.7070193	0.99999982	0
AT5G48385.1	6.50724	-0.891302	-0.30429	0.47377719	0.99999982	0
AT5G48620.1	6.72363	1.276927	1.6004	0.07448669	0.89484183	0
AT5G48810.1	6.17662	0.68638	0.19467	0.44483061	0.99999982	0
AT5G49360.1	8.76916	-1.115054	-1.85031	0.05009784	0.818628167	0
AT5G49720.1	8.18729	0.841158	0.56787	0.29887842	0.99999982	0
AT5G49730.1	8.54999	-1.662987	-3.34696	0.00481368	0.204498511	0
AT5G49740.1	7.6703	-0.10491	0	0.92096817	0.99999982	0
AT5G49760.1	6.35432	0.505864	0	0.61036688	0.99999982	0
AT5G49810.1	5.96656	1.691751	1.21655	0.14635894	0.953749755	0
AT5G49910.1	8.3598	-0.865694	-0.76263	0.23532087	0.99999982	0
AT5G49940.1	6.19628	0.86049	0.49201	0.33343249	0.99999982	0
AT5G49980.1	6.16247	0.676705	0.15998	0.46716496	0.99999982	0
AT5G50250.1	5.63358	-0.08954	0	0.95541279	0.99999982	0
AT5G50920.1	11.16164	0.122422	0	0.9976026	0.99999982	0
AT5G51070.1	7.82727	0.311607	0	0.81866323	0.99999982	0
AT5G51110.1	7.00219	-2.75648	-1.77868	0.06811224	0.88798183	0
AT5G51550.1	7.63743	-0.357594	0	0.73714785	0.99999982	0
AT5G51820.1	6.50872	0.790819	0.30282	0.4227887	0.99999982	0
AT5G52440.1	6.63176	-1.058502	-0.47655	0.39054681	0.99999982	0
AT5G52470.1	4.80122	0.95866	0.20438	0.63251382	0.99999982	0
AT5G52650.1	6.92149	-0.558408	0	0.54010718	0.99999982	0
AT5G52840.1	6.18216	-0.663486	-0.08222	0.5812065	0.99999982	0
AT5G52920.1	6.68416	0.167341	0	0.88856755	0.99999982	0
AT5G53140.1	6.81362	0.637944	0.09368	0.49438354	0.99999982	0
AT5G53170.1	7.47402	-0.307369	0	0.75939625	0.99999982	0
AT5G53350.1	6.77733	-0.690101	-0.13048	0.52497811	0.99999982	0
AT5G53370.1	7.01889	0.560678	0	0.53409496	0.99999982	0
AT5G53450.1	4.71623	4.388451	3.72341	0.00326162	0.169467087	0
AT5G53460.1	7.53763	-2.183736	-1.19155	0.16887522	0.980546235	0
AT5G53480.1	6.25089	0.855028	0.46665	0.34458036	0.99999982	0
AT5G54170.1	6.70407	-0.226513	0	0.82889643	0.99999982	0
AT5G54270.1	11.34225	-1.048835	-4.04527	0.00169928	0.11018504	0
AT5G54310.1	5.93215	-0.261856	0	0.82923788	0.99999982	0
AT5G54380.1	7.88906	0.445968	0	0.70869013	0.99999982	0
AT5G54390.1	6.96625	-0.685018	-0.18446	0.45205533	0.99999982	0
AT5G54540.1	5.64	0.152187	0	0.90866547	0.99999982	0
AT5G54600.1	8.69936	-0.64078	-0.1413	0.45242617	0.99999982	0
AT5G54710.1	7.6436	1.716875	4.3701	0.0010841	0.084541325	0
AT5G54720.1	5.92799	1.577507	1.31342	0.12210991	0.939512061	0
AT5G54730.1	5.76283	1.682642	1.37033	0.11376395	0.934381215	0
AT5G54770.1	12.47704	-1.79639	-10.67209	1.9e-06	0.000467078	-1
AT5G54810.1	7.67748	0.348278	0	0.79107608	0.99999982	0
AT5G54900.1	6.28473	0.158738	0	0.8764101	0.99999982	0
AT5G55190.1	6.01481	0.50483	0	0.66467018	0.99999982	0
AT5G55220.1	6.3235	0.675836	0.1547	0.47174003	0.99999982	0
AT5G55280.1	6.21854	-0.117568	0	0.91067161	0.99999982	0
AT5G55450.1	6.21298	0.336337	0	0.74586704	0.99999982	0
AT5G55660.1	6.71849	-0.413704	0	0.69182853	0.99999982	0
AT5G55960.1	5.75698	-0.880382	-0.21222	0.57952076	0.99999982	0
AT5G56000.1	5.21492	2.572035	1.73431	0.07171009	0.89484183	0
AT5G56010.1	7.89516	0.336834	0	0.82721205	0.99999982	0
AT5G56030.2	6.68091	-2.828457	-1.05067	0.23495627	0.99999982	0
AT5G56170.1	6.50872	0.18326	0	0.85744663	0.99999982	0
AT5G56290.1	5.58709	2.369185	1.83849	0.05847488	0.847671437	0
AT5G56710.1	5.66481	-1.330438	-0.26002	0.66163396	0.99999982	0
